timestamp,sensor_id,temperature_c,humidity_pct,vibration_hz
2023-09-01 00:01:00,SENS-4,21.32,69.9,38.71
2023-09-01 00:02:00,SENS-2,21.74,74.54,13.74
2023-09-01 00:03:00,SENS-1,19.56,74.29,17.6
2023-09-01 00:04:00,SENS-3,19.27,69.73,40.05
2023-09-01 00:05:00,SENS-3,22.17,66.83,17.63
2023-09-01 00:06:00,SENS-4,22.19,72.3,24.91
2023-09-01 00:07:00,SENS-4,20.11,68.27,30.6
2023-09-01 00:08:00,SENS-1,20.35,67.63,45.54
2023-09-01 00:09:00,SENS-4,20.51,67.6,24.52
2023-09-01 00:10:00,SENS-5,20.56,65.81,30.35
2023-09-01 00:11:00,SENS-5,21.11,71.56,33.36
2023-09-01 00:12:00,SENS-2,20.18,65.24,46.56
2023-09-01 00:13:00,SENS-5,22.45,66.09,32.65
2023-09-01 00:14:00,SENS-4,21.06,74.42,18.81
2023-09-01 00:15:00,SENS-4,22.09,72.1,16.87
2023-09-01 00:16:00,SENS-3,22.37,74.29,32.44
2023-09-01 00:17:00,SENS-5,21.22,68.45,27.67
2023-09-01 00:18:00,SENS-5,22.37,74.55,32.22
2023-09-01 00:19:00,SENS-4,19.47,72.9,24.36
2023-09-01 00:20:00,SENS-3,21.13,71.76,31.61
2023-09-01 00:21:00,SENS-2,20.47,67.63,12.89
2023-09-01 00:22:00,SENS-5,20.24,68.9,11.85
2023-09-01 00:23:00,SENS-4,20.55,66.16,22.36
2023-09-01 00:24:00,SENS-4,21.94,65.84,15.95
2023-09-01 00:25:00,SENS-1,19.19,67.05,43.64
2023-09-01 00:26:00,SENS-2,19.86,69.56,37.46
2023-09-01 00:27:00,SENS-5,22.46,66.51,45.31
2023-09-01 00:28:00,SENS-1,21.52,71.39,38.14
2023-09-01 00:29:00,SENS-3,21.97,69.25,13.8
2023-09-01 00:30:00,SENS-1,19.69,71.81,25.41
2023-09-01 00:31:00,SENS-2,21.63,74.74,45.51
2023-09-01 00:32:00,SENS-3,19.87,71.93,40.96
2023-09-01 00:33:00,SENS-1,20.57,71.73,31.97
2023-09-01 00:34:00,SENS-1,19.78,71.74,39.43
2023-09-01 00:35:00,SENS-4,20.53,64.93,32.72
2023-09-01 00:36:00,SENS-4,21.01,65.48,33.03
2023-09-01 00:37:00,SENS-1,22.23,69.0,42.19
2023-09-01 00:38:00,SENS-4,23.08,72.49,23.13
2023-09-01 00:39:00,SENS-2,21.56,65.88,41.85
2023-09-01 00:40:00,SENS-5,23.39,72.88,33.89
2023-09-01 00:41:00,SENS-1,23.39,69.81,32.74
2023-09-01 00:42:00,SENS-4,21.64,66.19,49.94
2023-09-01 00:43:00,SENS-1,23.07,74.4,41.28
2023-09-01 00:44:00,SENS-1,22.46,65.45,49.44
2023-09-01 00:45:00,SENS-3,22.05,69.52,47.26
2023-09-01 00:46:00,SENS-4,23.71,70.54,25.5
2023-09-01 00:47:00,SENS-3,22.5,70.79,19.12
2023-09-01 00:48:00,SENS-5,20.19,69.21,25.35
2023-09-01 00:49:00,SENS-5,23.84,73.52,29.92
2023-09-01 00:50:00,SENS-5,23.12,64.65,18.84
2023-09-01 00:51:00,SENS-3,23.99,71.45,48.92
2023-09-01 00:52:00,SENS-5,21.81,65.8,23.33
2023-09-01 00:53:00,SENS-2,23.8,68.11,35.39
2023-09-01 00:54:00,SENS-3,21.83,74.39,43.11
2023-09-01 00:55:00,SENS-4,21.86,74.43,11.16
2023-09-01 00:56:00,SENS-5,22.57,67.12,21.26
2023-09-01 00:57:00,SENS-4,23.4,71.22,15.37
2023-09-01 00:58:00,SENS-4,23.94,64.98,14.31
2023-09-01 00:59:00,SENS-2,22.68,71.06,15.96
2023-09-01 01:00:00,SENS-3,21.64,64.91,46.24
2023-09-01 01:01:00,SENS-5,21.14,65.49,17.79
2023-09-01 01:02:00,SENS-3,21.95,68.74,24.75
2023-09-01 01:03:00,SENS-4,23.16,73.29,35.9
2023-09-01 01:04:00,SENS-1,22.02,67.53,48.58
2023-09-01 01:05:00,SENS-3,24.33,73.22,34.97
2023-09-01 01:06:00,SENS-2,21.46,69.62,14.51
2023-09-01 01:07:00,SENS-3,21.93,71.89,22.11
2023-09-01 01:08:00,SENS-3,22.88,69.38,24.14
2023-09-01 01:09:00,SENS-3,24.88,69.16,10.61
2023-09-01 01:10:00,SENS-4,22.79,69.63,45.84
2023-09-01 01:11:00,SENS-3,23.9,71.73,11.05
2023-09-01 01:12:00,SENS-4,21.27,66.44,20.22
2023-09-01 01:13:00,SENS-5,24.79,70.46,38.55
2023-09-01 01:14:00,SENS-1,22.17,71.26,40.77
2023-09-01 01:15:00,SENS-2,23.15,73.23,34.71
2023-09-01 01:16:00,SENS-1,21.31,68.71,31.67
2023-09-01 01:17:00,SENS-2,24.65,69.16,42.85
2023-09-01 01:18:00,SENS-2,25.2,73.76,42.67
2023-09-01 01:19:00,SENS-1,22.26,64.28,10.76
2023-09-01 01:20:00,SENS-4,25.1,71.26,26.87
2023-09-01 01:21:00,SENS-1,21.94,65.64,49.31
2023-09-01 01:22:00,SENS-4,24.92,73.25,19.16
2023-09-01 01:23:00,SENS-4,21.56,69.02,47.76
2023-09-01 01:24:00,SENS-5,25.2,70.3,37.74
2023-09-01 01:25:00,SENS-3,21.78,64.92,32.56
2023-09-01 01:26:00,SENS-3,21.98,70.38,42.05
2023-09-01 01:27:00,SENS-5,24.82,65.97,40.0
2023-09-01 01:28:00,SENS-5,23.72,66.77,48.3
2023-09-01 01:29:00,SENS-1,25.72,70.76,32.34
2023-09-01 01:30:00,SENS-2,21.8,73.14,40.52
2023-09-01 01:31:00,SENS-2,24.8,69.01,31.7
2023-09-01 01:32:00,SENS-5,22.79,71.28,13.24
2023-09-01 01:33:00,SENS-5,23.85,63.51,28.92
2023-09-01 01:34:00,SENS-2,23.57,63.44,31.69
2023-09-01 01:35:00,SENS-5,25.21,70.07,16.55
2023-09-01 01:36:00,SENS-5,25.63,68.04,16.73
2023-09-01 01:37:00,SENS-2,23.02,73.02,42.58
2023-09-01 01:38:00,SENS-3,24.43,64.75,11.62
2023-09-01 01:39:00,SENS-4,25.68,65.9,48.89
2023-09-01 01:40:00,SENS-1,25.62,72.55,49.08
2023-09-01 01:41:00,SENS-3,25.76,66.45,36.39
2023-09-01 01:42:00,SENS-3,24.23,65.0,11.04
2023-09-01 01:43:00,SENS-1,24.09,65.7,16.5
2023-09-01 01:44:00,SENS-2,23.46,67.15,29.03
2023-09-01 01:45:00,SENS-3,22.53,71.71,13.93
2023-09-01 01:46:00,SENS-4,24.38,70.09,39.87
2023-09-01 01:47:00,SENS-1,23.84,70.61,18.42
2023-09-01 01:48:00,SENS-3,24.6,63.26,22.84
2023-09-01 01:49:00,SENS-3,24.8,64.47,40.19
2023-09-01 01:50:00,SENS-5,23.04,68.46,21.27
2023-09-01 01:51:00,SENS-1,25.32,65.73,29.56
2023-09-01 01:52:00,SENS-1,25.42,64.53,36.94
2023-09-01 01:53:00,SENS-4,25.93,68.12,32.33
2023-09-01 01:54:00,SENS-2,24.45,69.12,49.2
2023-09-01 01:55:00,SENS-4,26.36,65.17,42.62
2023-09-01 01:56:00,SENS-3,24.67,68.04,20.94
2023-09-01 01:57:00,SENS-4,26.5,63.66,44.65
2023-09-01 01:58:00,SENS-3,23.14,68.82,19.13
2023-09-01 01:59:00,SENS-1,25.03,67.85,17.68
2023-09-01 02:00:00,SENS-3,23.34,66.93,12.85
2023-09-01 02:01:00,SENS-1,23.86,64.13,38.59
2023-09-01 02:02:00,SENS-1,23.1,69.73,36.19
2023-09-01 02:03:00,SENS-4,24.44,67.89,37.28
2023-09-01 02:04:00,SENS-2,24.78,70.67,14.28
2023-09-01 02:05:00,SENS-4,23.72,70.94,45.88
2023-09-01 02:06:00,SENS-1,24.3,70.53,10.56
2023-09-01 02:07:00,SENS-1,23.38,67.23,23.83
2023-09-01 02:08:00,SENS-1,26.1,67.96,21.89
2023-09-01 02:09:00,SENS-3,26.68,67.46,19.53
2023-09-01 02:10:00,SENS-5,27.09,64.45,14.45
2023-09-01 02:11:00,SENS-4,23.69,67.44,10.04
2023-09-01 02:12:00,SENS-3,25.95,71.08,24.16
2023-09-01 02:13:00,SENS-5,23.56,66.74,10.7
2023-09-01 02:14:00,SENS-3,26.19,68.81,37.24
2023-09-01 02:15:00,SENS-2,25.78,62.99,23.9
2023-09-01 02:16:00,SENS-2,26.12,64.71,38.54
